Date,Close,Open,High,Low,Volume,% Thay đổi
2024-01-09,611000.0,620000.0,625000.0,610000.0,860.0,-2.08%
2024-01-11,620000.0,621000.0,621000.0,610000.0,550.0,1.47%
2024-01-12,618200.0,618100.0,618200.0,618100.0,480.0,-0.29%
2024-01-15,611000.0,615000.0,615000.0,610000.0,1190.0,-1.16%
2024-01-16,588000.0,600000.0,610000.0,555000.0,5840.0,-3.76%
2024-01-17,586000.0,585100.0,598900.0,577000.0,2510.0,-0.34%
2024-01-18,591000.0,570000.0,597900.0,570000.0,1260.0,0.85%
2024-01-19,610000.0,586000.0,610000.0,586000.0,1800.0,3.21%
2024-01-22,605000.0,591000.0,605000.0,590000.0,910.0,-0.82%
2024-01-23,590000.0,600000.0,600000.0,569000.0,7800.0,-2.48%
2024-01-24,579000.0,580000.0,580000.0,575000.0,1280.0,-1.86%
2024-01-25,600000.0,600000.0,600000.0,600000.0,170.0,3.63%
2024-01-26,570000.0,570000.0,590000.0,570000.0,2620.0,-5.00%
2024-01-29,570000.0,562000.0,570000.0,561000.0,2330.0,0.00%
2024-01-30,570000.0,568100.0,570000.0,568000.0,1310.0,0.00%
2024-01-31,568900.0,568100.0,568900.0,568100.0,360.0,-0.19%
2024-02-01,572200.0,580000.0,580000.0,572200.0,1220.0,0.58%
2024-02-02,589000.0,560100.0,589000.0,559000.0,1970.0,2.94%
2024-02-05,589000.0,589000.0,589000.0,570100.0,2470.0,0.00%
2024-02-06,589000.0,580000.0,589000.0,580000.0,1030.0,0.00%
2024-02-07,590000.0,589000.0,590000.0,589000.0,230.0,0.17%
2024-02-15,600000.0,589000.0,601000.0,589000.0,2470.0,1.69%
2024-02-16,600000.0,600000.0,600000.0,599500.0,1550.0,0.00%
2024-02-19,600000.0,600000.0,600000.0,600000.0,1020.0,0.00%
2024-02-20,611000.0,600000.0,611000.0,594000.0,2520.0,1.83%
2024-02-21,601000.0,581000.0,601000.0,555000.0,4490.0,-1.64%
2024-02-22,600000.0,590100.0,600000.0,590100.0,610.0,-0.17%
2024-02-23,600000.0,584000.0,600000.0,560000.0,3900.0,0.00%
2024-02-26,590000.0,600000.0,600000.0,578100.0,1390.0,-1.67%
2024-02-27,590000.0,590000.0,590000.0,590000.0,2250.0,0.00%
2024-02-28,585000.0,590000.0,599000.0,585000.0,800.0,-0.85%
2024-02-29,600000.0,598000.0,600000.0,590000.0,5640.0,2.56%
2024-03-01,600000.0,595000.0,600000.0,595000.0,670.0,0.00%
2024-03-04,580000.0,590000.0,590000.0,580000.0,1850.0,-3.33%
2024-03-05,581300.0,599000.0,599000.0,581300.0,330.0,0.22%
2024-03-06,580000.0,585000.0,590200.0,580000.0,1140.0,-0.22%
2024-03-07,590000.0,588000.0,590000.0,584000.0,2000.0,1.72%
2024-03-08,580000.0,580100.0,580100.0,576000.0,2470.0,-1.69%
2024-03-11,575000.0,580000.0,580000.0,575000.0,3210.0,-0.86%
2024-03-12,572000.0,579900.0,580000.0,572000.0,4670.0,-0.52%
2024-03-13,562000.0,572000.0,572000.0,560000.0,7480.0,-1.75%
2024-03-14,564900.0,557200.0,570000.0,557000.0,5160.0,0.52%
2024-03-15,559000.0,565000.0,565000.0,558000.0,2860.0,-1.04%
2024-03-18,547500.0,560000.0,560000.0,547500.0,4580.0,-2.06%
2024-03-19,545000.0,548000.0,555000.0,541000.0,3310.0,-0.46%
2024-03-20,532900.0,545000.0,545000.0,511000.0,6040.0,-2.22%
2024-03-21,521100.0,526000.0,529000.0,520000.0,5150.0,-2.21%
2024-03-22,541000.0,525000.0,601900.0,525000.0,9380.0,3.82%
2024-03-25,541500.0,541500.0,541500.0,541500.0,680.0,0.09%
2024-03-26,541000.0,541500.0,541500.0,540000.0,1190.0,-0.09%
2024-03-27,535100.0,545000.0,550000.0,535100.0,1290.0,-1.09%
2024-03-28,530000.0,523000.0,538000.0,523000.0,700.0,-0.95%
2024-03-29,516000.0,530000.0,530000.0,515000.0,3700.0,-2.64%
2024-04-01,520000.0,511200.0,520000.0,511200.0,2790.0,0.78%
2024-04-02,510000.0,515000.0,517200.0,510000.0,2170.0,-1.92%
2024-04-03,490000.0,516800.0,516800.0,490000.0,8280.0,-3.92%
2024-04-04,500200.0,495000.0,500500.0,495000.0,5520.0,2.08%
2024-04-05,497000.0,500200.0,500200.0,491000.0,630.0,-0.64%
2024-04-08,496000.0,492000.0,496000.0,491500.0,980.0,-0.20%
2024-04-09,490000.0,495000.0,495000.0,487000.0,3250.0,-1.21%
2024-04-10,486000.0,490000.0,490000.0,486000.0,800.0,-0.82%
2024-04-11,488900.0,486000.0,488900.0,460000.0,7660.0,0.60%
2024-04-12,480000.0,480000.0,480000.0,480000.0,170.0,-1.82%
2024-04-15,468000.0,480000.0,480000.0,468000.0,1570.0,-2.50%
2024-04-16,480000.0,500000.0,500000.0,480000.0,700.0,2.56%
2024-04-19,460000.0,455000.0,480000.0,455000.0,770.0,-4.17%
2024-04-22,462000.0,470000.0,470000.0,462000.0,970.0,0.43%
2024-04-23,455000.0,465000.0,465000.0,455000.0,730.0,-1.52%
2024-04-24,462500.0,487000.0,487500.0,461000.0,1840.0,1.65%
2024-04-25,480000.0,475000.0,480000.0,475000.0,1370.0,3.78%
2024-04-26,480000.0,480000.0,480000.0,467200.0,1370.0,0.00%
2024-05-02,479000.0,479000.0,479000.0,479000.0,390.0,-0.21%
2024-05-06,475000.0,479500.0,479500.0,475000.0,2070.0,-0.84%
2024-05-07,472000.0,476000.0,476000.0,472000.0,580.0,-0.63%
2024-05-08,473800.0,473700.0,473800.0,473600.0,810.0,0.38%
2024-05-09,480000.0,473900.0,480000.0,473900.0,870.0,1.31%
2024-05-10,540000.0,479000.0,545000.0,479000.0,2380.0,12.50%
2024-05-13,560000.0,518000.0,579400.0,518000.0,9370.0,3.70%
2024-05-14,561000.0,569000.0,599000.0,561000.0,4540.0,0.18%
2024-05-15,548000.0,555000.0,555000.0,531200.0,2150.0,-2.32%
2024-05-16,569200.0,599000.0,599000.0,569100.0,7950.0,3.87%
2024-05-17,540100.0,569000.0,569000.0,535000.0,1380.0,-5.11%
2024-05-20,536000.0,540200.0,545000.0,536000.0,3190.0,-0.76%
2024-05-21,518000.0,532000.0,532000.0,518000.0,1880.0,-3.36%
2024-05-22,522000.0,522000.0,522100.0,520200.0,1630.0,0.77%
2024-05-23,514000.0,512500.0,515100.0,512500.0,620.0,-1.53%
2024-05-24,512000.0,514100.0,514100.0,512000.0,1150.0,-0.39%
2024-05-27,535000.0,535500.0,540100.0,535000.0,890.0,4.49%
2024-05-28,530000.0,521000.0,530000.0,521000.0,470.0,-0.93%
2024-05-29,524000.0,530000.0,530000.0,524000.0,1240.0,-1.13%
2024-05-30,533000.0,522000.0,533000.0,522000.0,1030.0,1.72%
2024-05-31,515500.0,523900.0,523900.0,515500.0,1310.0,-3.28%
2024-06-03,537000.0,521000.0,537000.0,517500.0,950.0,4.17%
2024-06-04,554000.0,529900.0,556000.0,529900.0,2510.0,3.17%
2024-06-05,543000.0,551300.0,570000.0,543000.0,1050.0,-1.99%
2024-06-06,550600.0,557000.0,569000.0,550600.0,2340.0,1.40%
2024-06-07,550000.0,540000.0,550000.0,535100.0,910.0,-0.11%
2024-06-10,555000.0,559000.0,560800.0,554000.0,1700.0,0.91%
2024-06-11,545200.0,560000.0,560000.0,545200.0,730.0,-1.77%
2024-06-12,580000.0,535500.0,580000.0,535500.0,5460.0,6.38%
2024-06-14,590000.0,557000.0,590000.0,557000.0,4000.0,1.72%
2024-06-17,585000.0,581100.0,585000.0,580000.0,3240.0,-0.85%
2024-06-18,585000.0,580000.0,585000.0,580000.0,470.0,0.00%
2024-06-19,580000.0,588000.0,588000.0,580000.0,1210.0,-0.85%
